ExternalList	Size1	ItemGroup	Size2	Overlap	theSum	theFirst	theSecond	odds	confmin	confmax	pval	log10pval	percOverlap
Conserved COPs	1149	BulkCOPs	3705	203	254777	946	3502	15.6132084525946	13.2945728298973	18.2616045884023	4.13962258233729e-152	151.508638306166	5.47908232118758
Conserved COPs	1149	scCOPs	3877	97	254711	1052	3780	6.2129710430549	4.98055734785738	7.67417119094073	0.00000000000000000000000000000000000000000612416474883085	41.2365720064371	2.50193448542688
Conserved COPs	1149	scCOPs>=5	377	31	258277	1118	346	20.6957430775615	13.7857276528663	30.0697493639653	0.0000000000000000000000000000411149645686474	28.3872161432803	8.22281167108753
Same complex	238	BulkCOPs	3705	33	255858	205	3672	11.2152782258911	7.50855309338738	16.2807594412176	0.000000000000000000000188920947263873	21.7212463990472	0.890688259109312
Same complex	238	scCOPs	3877	50	255669	188	3827	17.7672719940937	12.7144696910843	24.4273793829737	0.0000000000000000000000000000000000000000204912814932216	40.698970004336	1.28965695125097
Same complex	238	scCOPs>=5	377	24	259195	214	353	82.3576617718119	50.9014793563234	128.246397214958	0.00000000000000000000000000000000000144485543078391	35.8538719643218	6.36604774535809
Same pathway	22290	BulkCOPs	3705	516	233323	21774	3189	1.73385301421938	1.57520188743554	1.90549462710596	0.00000000000000000000000000448345757797906	26.8860566476932	13.9271255060729
Same pathway	22290	scCOPs	3877	624	233043	21666	3253	2.06327553569926	1.88873465261607	2.25113071052048	0.00000000000000000000000000000000000000000000000000158577905756655	51.698970004336	16.0949187516121
Same pathway	22290	scCOPs>=5	377	128	237039	22162	249	5.49803224053307	4.40519576172253	6.83472752936411	0.000000000000000000000000000000000000000000225743175744792	42.698970004336	33.9522546419098
